order,medication,pharmacologic_group,stopp_codes,start_codes,beers_codes
"41","LATANOPROST 0.005 % X 2.5 ML GOTAS OFTÁLMICAS","Antiglaucomatoso: análogo de prostaglandina","STOPP-A1|STOPP-A2|STOPP-A3","",""
"42","BISACODILO 5 MG (LIBERACIÓN RETARDADA)","Laxante estimulante","STOPP-A1|STOPP-A2|STOPP-A3","",""
"43","METAMIZOL SÓDICO 500 MG / ML X 2 ML","Analgésico y antipirético no opioide (pirazolona)","STOPP-A1|STOPP-A2|STOPP-A3","",""
"44","ENALAPRIL MALEATO 10 MG","Antihipertensivo: inhibidor de la enzima convertidora de angiotensina (IECA)","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B12|STOPP-B13","START-B1|START-B3|START-B5|START-E4|START-J1","B21|B22"
"45","BISMUTO SUBSALICILATO 87.33-87.50 MG/5 ML SUSPENSIÓN ORAL X 240 A 340 ML","Antidiarreico y protector gastrointestinal","STOPP-A1|STOPP-A2|STOPP-A3","",""
"46","TIMOLOL (COMO MALEATO) 0.5% X 5 ML GOTAS OFTÁLMICAS","Antiglaucomatoso: betabloqueador oftálmico","STOPP-A1|STOPP-A2|STOPP-A3","",""
"47","LORATADINA 10 MG","Antihistamínico H1 de segunda generación","STOPP-A1|STOPP-A2|STOPP-A3","",""
"48","LACTULOSA 3,3 G/5 ML JARABE X 240 ML","Laxante osmótico","STOPP-A1|STOPP-A2|STOPP-A3","START-F5",""
"49","DORZOLAMIDA 2% X 5 ML SOLUCIÓN OFTÁLMICA","Antiglaucomatoso: inhibidor de la anhidrasa carbónica","STOPP-A1|STOPP-A2|STOPP-A3","",""
"50","GLIBENCLAMIDA 5 MG","Antidiabético: sulfonilurea","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-J1","","B10"
"51","OMEPRAZOL 20 MG (LIBERACIÓN RETARDADA)","Antiulceroso: inhibidor de la bomba de protones","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-F2","START-F1|START-F2|START-F3","B04"
"52","AMOXICILINA/ACIDO CLAVULANICO 500 MG/125 MG","Antibacteriano: penicilina con inhibidor de betalactamasa","STOPP-A1|STOPP-A2|STOPP-A3","",""
"53","ATORVASTATINA (COMO SAL CALCICA) 40 MG","Hipolipemiante: estatina","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B16","START-B2",""
"54","AZITROMICINA 500 MG","Antibacteriano: macrólido","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B15|STOPP-C14","",""
